,Event,Event_encode
117345,Archery Men's Individual,0
118080,Archery Men's Team,1
62659,Archery Women's Individual,2
130135,Archery Women's Team,3
10085,"Athletics Men's 1,500 metres",4
79226,"Athletics Men's 10,000 metres",5
41659,Athletics Men's 100 metres,6
40002,Athletics Men's 110 metres Hurdles,7
129151,Athletics Men's 20 kilometres Walk,8
69847,Athletics Men's 200 metres,9
79792,"Athletics Men's 3,000 metres Steeplechase",10
47454,Athletics Men's 4 x 100 metres Relay,11
67676,Athletics Men's 4 x 400 metres Relay,12
48777,Athletics Men's 400 metres,13
49612,Athletics Men's 400 metres Hurdles,14
24040,"Athletics Men's 5,000 metres",15
130459,Athletics Men's 50 kilometres Walk,16
51728,Athletics Men's 800 metres,17
107902,Athletics Men's Decathlon,18
95053,Athletics Men's Discus Throw,19
50165,Athletics Men's Hammer Throw,20
42798,Athletics Men's High Jump,21
75641,Athletics Men's Javelin Throw,22
50888,Athletics Men's Long Jump,23
66303,Athletics Men's Marathon,24
23556,Athletics Men's Pole Vault,25
2957,Athletics Men's Shot Put,26
115488,Athletics Men's Triple Jump,27
109266,"Athletics Women's 1,500 metres",28
152451,Athletics Women's 10 kilometres Walk,29
107451,"Athletics Women's 10,000 metres",30
85994,Athletics Women's 100 metres,31
131666,Athletics Women's 100 metres Hurdles,32
147269,Athletics Women's 20 kilometres Walk,33
83800,Athletics Women's 200 metres,34
68944,"Athletics Women's 3,000 metres",35
145960,"Athletics Women's 3,000 metres Steeplechase",36
108360,Athletics Women's 4 x 100 metres Relay,37
113694,Athletics Women's 4 x 400 metres Relay,38
119325,Athletics Women's 400 metres,39
121861,Athletics Women's 400 metres Hurdles,40
94683,"Athletics Women's 5,000 metres",41
147566,Athletics Women's 80 metres Hurdles,42
116214,Athletics Women's 800 metres,43
137314,Athletics Women's Discus Throw,44
157571,Athletics Women's Hammer Throw,45
137687,Athletics Women's Heptathlon,46
124994,Athletics Women's High Jump,47
15445,Athletics Women's Javelin Throw,48
87631,Athletics Women's Long Jump,49
40914,Athletics Women's Marathon,50
124338,Athletics Women's Pentathlon,51
111479,Athletics Women's Pole Vault,52
38234,Athletics Women's Shot Put,53
151366,Athletics Women's Triple Jump,54
146205,Badminton Men's Doubles,55
2480,Badminton Men's Singles,56
132529,Badminton Mixed Doubles,57
150980,Badminton Women's Doubles,58
92947,Badminton Women's Singles,59
96822,Baseball Men's Baseball,60
0,Basketball Men's Basketball,61
26751,Basketball Women's Basketball,62
120561,Beach Volleyball Men's Beach Volleyball,63
141275,Beach Volleyball Women's Beach Volleyball,64
96371,Boxing Men's Bantamweight,65
70874,Boxing Men's Featherweight,66
26343,Boxing Men's Flyweight,67
94054,Boxing Men's Heavyweight,68
74102,Boxing Men's Light-Flyweight,69
131302,Boxing Men's Light-Heavyweight,70
93251,Boxing Men's Light-Middleweight,71
15001,Boxing Men's Light-Welterweight,72
45249,Boxing Men's Lightweight,73
35898,Boxing Men's Middleweight,74
74456,Boxing Men's Super-Heavyweight,75
45687,Boxing Men's Welterweight,76
131642,Boxing Women's Flyweight,77
151566,Boxing Women's Lightweight,78
155170,Boxing Women's Middleweight,79
28694,"Canoeing Men's Canadian Doubles, 1,000 metres",80
28432,"Canoeing Men's Canadian Doubles, 500 metres",81
135716,"Canoeing Men's Canadian Doubles, Slalom",82
142252,"Canoeing Men's Canadian Singles, 1,000 metres",83
158024,"Canoeing Men's Canadian Singles, 200 metres",84
154648,"Canoeing Men's Canadian Singles, 500 metres",85
150456,"Canoeing Men's Canadian Singles, Slalom",86
151690,"Canoeing Men's Kayak Doubles, 1,000 metres",87
151638,"Canoeing Men's Kayak Doubles, 200 metres",88
110383,"Canoeing Men's Kayak Doubles, 500 metres",89
29072,"Canoeing Men's Kayak Fours, 1,000 metres",90
110975,"Canoeing Men's Kayak Singles, 1,000 metres",91
157766,"Canoeing Men's Kayak Singles, 200 metres",92
110761,"Canoeing Men's Kayak Singles, 500 metres",93
117108,"Canoeing Men's Kayak Singles, Slalom",94
147864,"Canoeing Women's Kayak Doubles, 500 metres",95
125438,"Canoeing Women's Kayak Fours, 500 metres",96
153406,"Canoeing Women's Kayak Singles, 200 metres",97
152202,"Canoeing Women's Kayak Singles, 500 metres",98
143437,"Canoeing Women's Kayak Singles, Slalom",99
114443,"Cycling Men's 1,000 metres Time Trial",100
98234,Cycling Men's 100 kilometres Team Time Trial,101
152995,Cycling Men's BMX,102
114721,"Cycling Men's Individual Pursuit, 4,000 metres",103
148262,Cycling Men's Individual Time Trial,104
156809,Cycling Men's Keirin,105
147673,Cycling Men's Madison,106
121573,"Cycling Men's Mountainbike, Cross-Country",107
156528,Cycling Men's Omnium,108
137980,Cycling Men's Points Race,109
52519,"Cycling Men's Road Race, Individual",110
95991,Cycling Men's Sprint,111
157808,"Cycling Men's Tandem Sprint, 2,000 metres",112
125866,"Cycling Men's Team Pursuit, 4,000 metres",113
156921,Cycling Men's Team Sprint,114
39973,Cycling Women's 500 metres Time Trial,115
151590,Cycling Women's BMX,116
156564,"Cycling Women's Individual Pursuit, 3,000 metres",117
156251,Cycling Women's Individual Time Trial,118
157979,Cycling Women's Keirin,119
120849,"Cycling Women's Mountainbike, Cross-Country",120
158074,Cycling Women's Omnium,121
156630,Cycling Women's Points Race,122
61644,"Cycling Women's Road Race, Individual",123
39854,Cycling Women's Sprint,124
156106,Cycling Women's Team Pursuit,125
158110,Cycling Women's Team Sprint,126
28007,Diving Men's Platform,127
122163,Diving Men's Springboard,128
143357,Diving Men's Synchronized Platform,129
152694,Diving Men's Synchronized Springboard,130
69042,Diving Women's Platform,131
106972,Diving Women's Springboard,132
151286,Diving Women's Synchronized Platform,133
107371,Diving Women's Synchronized Springboard,134
138341,"Equestrianism Mixed Dressage, Individual",135
138911,"Equestrianism Mixed Dressage, Team",136
14124,"Equestrianism Mixed Jumping, Individual",137
142560,"Equestrianism Mixed Jumping, Team",138
59993,"Equestrianism Mixed Three-Day Event, Individual",139
60776,"Equestrianism Mixed Three-Day Event, Team",140
43301,"Fencing Men's Foil, Individual",141
43975,"Fencing Men's Foil, Team",142
99177,"Fencing Men's Sabre, Individual",143
44658,"Fencing Men's Sabre, Team",144
25106,"Fencing Men's epee, Individual",145
72545,"Fencing Men's epee, Team",146
140205,"Fencing Women's Foil, Individual",147
127829,"Fencing Women's Foil, Team",148
156397,"Fencing Women's Sabre, Individual",149
148824,"Fencing Women's Sabre, Team",150
88095,"Fencing Women's epee, Individual",151
154797,"Fencing Women's epee, Team",152
32295,Football Men's Football,153
13112,Football Women's Football,154
142192,Golf Men's Individual,155
157155,Golf Women's Individual,156
17348,Gymnastics Men's Floor Exercise,157
19842,Gymnastics Men's Horizontal Bar,158
76077,Gymnastics Men's Horse Vault,159
16085,Gymnastics Men's Individual All-Around,160
18595,Gymnastics Men's Parallel Bars,161
22315,Gymnastics Men's Pommelled Horse,162
21086,Gymnastics Men's Rings,163
111947,Gymnastics Men's Team All-Around,164
105763,Gymnastics Women's Balance Beam,165
102337,Gymnastics Women's Floor Exercise,166
103542,Gymnastics Women's Horse Vault,167
100129,Gymnastics Women's Individual All-Around,168
101345,Gymnastics Women's Team All-Around,169
104556,Gymnastics Women's Uneven Bars,170
29908,Handball Men's Handball,171
3362,Handball Women's Handball,172
55701,Hockey Men's Hockey,173
7906,Hockey Women's Hockey,174
2139,Judo Men's Extra-Lightweight,175
129780,Judo Men's Half-Heavyweight,176
127474,Judo Men's Half-Lightweight,177
25866,Judo Men's Half-Middleweight,178
95659,Judo Men's Heavyweight,179
36257,Judo Men's Lightweight,180
127071,Judo Men's Middleweight,181
123970,Judo Men's Open Class,182
152539,Judo Women's Extra-Lightweight,183
111332,Judo Women's Half-Heavyweight,184
135944,Judo Women's Half-Lightweight,185
107730,Judo Women's Half-Middleweight,186
148487,Judo Women's Heavyweight,187
153246,Judo Women's Lightweight,188
153091,Judo Women's Middleweight,189
82815,Modern Pentathlon Men's Individual,190
83428,Modern Pentathlon Men's Team,191
135552,Modern Pentathlon Women's Individual,192
99744,Rhythmic Gymnastics Women's Group,193
116835,Rhythmic Gymnastics Women's Individual,194
