,Team,Team_encode
24011,Afghanistan,0
3106,Albania,1
2272,Algeria,2
3154,American Samoa,3
2351,Andorra,4
40,Angola,5
10124,Antigua,6
15,Argentina,7
2199,Armenia,8
10823,Aruba,9
27,Australia,10
2263,Austria,11
2271,Azerbaijan,12
7413,Bahamas,13
7214,Bahrain,14
11301,Bangladesh,15
7514,Barbados,16
2158,Belarus,17
2449,Belgium,18
10324,Belize,19
2246,Benin,20
7227,Bermuda,21
62753,Bhutan,22
2165,Boliva,23
2383,Bosnia and Herzegovina,24
2348,Botswana,25
16,Brazil,26
2764,Brunei,27
219,Bulgaria,28
2262,Burkina Faso,29
10447,Burundi,30
2289,Cambodia,31
2174,Cameroon,32
128,Canada,33
24556,Cape Verde,34
10936,Cayman Islands,35
146,Central African Republic,36
10309,Chad,37
3331,Chile,38
0,China,39
4768,Colombia,40
41768,Comoros,41
2945,Cook Islands,42
2232,Costa Rica,43
30,Croatia,44
12,Cuba,45
2811,Curacao,46
2430,Cyprus,47
111,Czech Republic,48
2347,Democratic Republic of the Congo,49
2489,Denmark,50
2273,Djibouti,51
10098,Dominica,52
2240,Dominican Republic,53
2161,Ecuador,54
2,Egypt,55
3119,El Salvador,56
10186,Equatorial Guinea,57
10689,Eritrea,58
2659,Estonia,59
10110,Ethiopia,60
4814,Fiji,61
569,Finland,62
133,France,63
26052,Gabon,64
10192,Gambia,65
2286,Georgia,66
55,Germany,67
4764,Ghana,68
47,Greece,69
35954,Grenada,70
2893,Guam,71
2399,Guatemala,72
2160,Guinea,73
15882,Guinea-Bissau,74
2313,Guyana,75
10627,Haiti,76
2176,Honduras,77
155,Hungary,78
2549,Iceland,79
478,India,80
3232,Individual Olympic Athletes,81
2488,Indonesia,82
24,Iran,83
5033,Iraq,84
2250,Ireland,85
2152,Israel,86
1,Italy,87
3140,Ivory Coast,88
3248,Jamaica,89
9,Japan,90
10102,Jordan,91
2211,Kazakhstan,92
10161,Kenya,93
42390,Kiribati,94
52011,Kosovo,95
2349,Kuwait,96
2167,Kyrgyzstan,97
2429,Laos,98
2787,Latvia,99
2191,Lebanon,100
10512,Lesotho,101
10399,Liberia,102
2223,Libya,103
2170,Liechtenstein,104
20,Lithuania,105
10499,Luxembourg,106
10928,Macedonia,107
2154,Madagascar,108
10266,Malawi,109
2537,Malaysia,110
2695,Maldives,111
2428,Mali,112
10947,Malta,113
41911,Marshall Islands,114
4836,Mauritania,115
2494,Mauritius,116
33,Mexico,117
4901,Micronesia,118
2310,Moldova,119
2376,Monaco,120
2157,Mongolia,121
3445,Montenegro,122
32,Morocco,123
2425,Mozambique,124
10223,Myanmar,125
15176,Namibia,126
4803,Nauru,127
10618,Nepal,128
2166,Netherlands,129
207,New Zealand,130
3187,Nicaragua,131
2251,Niger,132
28,Nigeria,133
2297,North Korea,134
2485,Norway,135
10108,Oman,136
7213,Pakistan,137
41680,Palau,138
2467,Palestine,139
25,Panama,140
10651,Papua New Guinea,141
10466,Paraguay,142
154,Peru,143
21,Philippines,144
165,Poland,145
2175,Portugal,146
22,Puerto Rico,147
2968,Qatar,148
10118,Refugee Olympic Athletes,149
3052,Republic of Congo,150
2445,Romania,151
29,Russia,152
10526,Rwanda,153
41672,Saint Kitts,154
15506,Saint Lucia,155
42264,Saint Vincent,156
3065,Samoa,157
2234,San Marino,158
24377,Sao Tome and Principe,159
2333,Saudi Arabia,160
103,Senegal,161
80,Serbia,162
2311,Seychelles,163
10172,Sierra Leone,164
2596,Singapore,165
2338,Slovakia,166
2218,Slovenia,167
2324,Solomon Islands,168
10090,Somalia,169
2524,South Africa,170
112,South Korea,171
10410,South Sudan,172
13,Spain,173
2591,Sri Lanka,174
10088,Sudan,175
2329,Suriname,176
10256,Swaziland,177
61,Sweden,178
2172,Switzerland,179
2224,Syria,180
2183,Taiwan,181
2168,Tajikistan,182
10151,Tanzania,183
2513,Thailand,184
10663,Timor-Leste,185
15005,Togo,186
15221,Tonga,187
10926,Trinidad,188
153,Tunisia,189
2221,Turkey,190
5034,Turkmenistan,191
42420,Tuvalu,192
14,UK,193
8,USA,194
2530,Uganda,195
2306,Ukraine,196
10105,United Arab Emirates,197
329,Uruguay,198
2358,Uzbekistan,199
10408,Vanuatu,200
347,Venezuela,201
2667,Vietnam,202
3097,"Virgin Islands, British",203
2895,"Virgin Islands, US",204
2145,Yemen,205
2185,Zambia,206
8097,Zimbabwe,207
